timestamp,port,pps,udp_pps,syn_pps,udp_ratio,unique_src_ips,entropy_ip,bps,entropy_port,ack_ratio,fin_ratio,rst_ratio,syn_ratio,icmp_rate,size_entropy,rule_alarm,cusum_alarm,zscore_alarm,final_alarm
1765813903537.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813903537.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813904541.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813904541.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813905545.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813905545.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813906549.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813906549.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813907553.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813907553.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813908557.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813908557.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813909561.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813909561.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813910565.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813910565.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813911569.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813911569.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813912573.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813912573.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813913577.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813913577.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813914581.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813914581.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813915585.0,0,2.0,1.0,0.0,0.5,1,1.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1765813915585.0,1,2.0,0.0,0.0,0.0,1,1.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813916589.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813916589.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813917593.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813917593.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813918598.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813918598.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813919602.0,0,3.0,1.0,0.0,0.333333,1,1.584963,1744.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.918296,0,1,0,0
1765813919602.0,1,3.0,0.0,0.0,0.0,1,1.584963,1824.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.918296,0,0,0,0
1765813920606.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813920606.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813921610.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813921610.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813922614.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813922614.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813923618.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
1765813923618.0,1,2.0,0.0,0.0,0.0,1,1.0,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1765813924622.0,0,2.0,1.0,0.0,0.5,1,1.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0
